序号,公园名称,地   址,所属街道,开园时间
1,普陀公园,光复西路255号,长寿街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
2,长风公园,大渡河路189号,长风街道,5.1—10.31：5:00—21:30、11.1-- 3.31：6:00 -21:00、4.1—4.30：5:00—21:00
3,长寿公园,长寿路260号,长寿街道,5.1—10.31：5:00—21:30、11.1-- 3.31：6:00-20:00、4.1—4.30：5:00—20:00
4,兰溪公园,兰溪路152号,曹杨街道,24小时开放
5,曹杨公园,枫桥路50号,曹杨街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
6,宜川公园,宜川路99号,宜川街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
7,沪太公园,新村路37号,甘泉街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
8,甘泉公园,志丹路301号,甘泉街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
9,管弄公园,管弄路29号,石泉街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
10,海棠公园,武宁路2650号,真如镇,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
11,真光公园,真光路1865号,真如镇,4.1—6.30：5:00—18:00、7.1-- 9.30：5:00-19:00、10.1—3.31：6:00—18:00
12,清涧公园,金鼎路650号,真如镇,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
13,梅川公园,武宁路2361号,长征镇,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
14,未来岛公园,绥德路378号,桃浦镇,4.1—6.30：5:00—18:00、7.1-- 9.30：5:00-19:00、10.1—3.31：6:00—18:00
15,祥和公园,真光路1121号甲,长征镇,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
16,武宁公园,中宁路107号乙,石泉街道,闭园改造
17,梦 清 园,宜昌路66号,长寿街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
18,桃浦公园,桃浦西路1018号,桃浦镇,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
19,真如公园,大渡河路1894号,真如镇,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
20,丹巴公园,丹巴路699号,长风街道,24小时开放
21,枣 阳 园,枣阳路226号,曹杨街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
22,建德滨江公园,同普路、泾阳路,长征镇,24小时开放
23,梦 栖 园,金沙江路泸定路,长征镇,24小时开放
24,曹村源园,枣阳路、兰溪路,曹杨街道,24小时开放
25,长风2号绿地公园,大渡河路、光复西路,长风街道,闭园改造
26,万泉花园,万泉路、富平路,万里街道,24小时开放
27,玉 兰 园（普陀）,真北路近灵石路,桃浦镇,24小时开放
28,建民绿地公园,中山北路近石泉东路,宜川街道,5.1—10.31：5:00—21:00、11.1 --3.31： 6:00—20:00、4.1—4.30： 5:00—20:00
29,云岭公园,云岭东路真北路东南侧,长风街道,8：00---21:00
30,万里公园,新村路与富平路之间,万里街道,24小时开放


